,cost time,FPS,1,2,3,4,5,coordinate,len
289.png,0.007239580154418945,138,chair,,,,,"[[1329, 427, 1750, 798]]",1
290.png,0.006798267364501953,147,,,,,,[],0
291.png,0.0065076351165771484,153,,,,,,[],0
292.png,0.007614850997924805,131,chair,chair,,,,"[[309, 162, 954, 922], [1434, 439, 1777, 803]]",2
293.png,0.007227897644042969,138,chair,,,,,"[[316, 175, 949, 907]]",1
294.png,0.0075914859771728516,131,chair,,,,,"[[1533, 455, 1849, 789]]",1
295.png,0.00723576545715332,138,chair,,,,,"[[1500, 478, 1848, 908]]",1
296.png,0.007352590560913086,136,chair,,,,,"[[1500, 477, 1848, 909]]",1
297.png,0.007605791091918945,131,chair,,,,,"[[1504, 477, 1846, 908]]",1
298.png,0.007288217544555664,137,chair,,,,,"[[1505, 478, 1847, 907]]",1
299.png,0.0075914859771728516,131,chair,,,,,"[[1505, 478, 1847, 907]]",1
300.png,0.007506847381591797,133,chair,,,,,"[[1502, 480, 1848, 906]]",1
301.png,0.007179737091064453,139,chair,,,,,"[[1503, 481, 1848, 903]]",1
302.png,0.007083892822265625,141,chair,,,,,"[[1501, 481, 1849, 904]]",1
303.png,0.007161378860473633,139,chair,,,,,"[[1501, 480, 1848, 906]]",1
304.png,0.007997989654541016,125,chair,,,,,"[[1502, 480, 1848, 905]]",1
305.png,0.007519960403442383,132,chair,,,,,"[[1501, 479, 1849, 907]]",1
306.png,0.007561683654785156,132,chair,,,,,"[[1502, 479, 1850, 905]]",1
307.png,0.0076427459716796875,130,chair,,,,,"[[1502, 479, 1850, 905]]",1
308.png,0.007581233978271484,131,chair,,,,,"[[1503, 480, 1850, 905]]",1
309.png,0.007513284683227539,133,chair,,,,,"[[1503, 482, 1849, 904]]",1
310.png,0.007599592208862305,131,chair,,,,,"[[1501, 481, 1850, 905]]",1
311.png,0.007146358489990234,139,chair,,,,,"[[1501, 480, 1850, 906]]",1
312.png,0.007525920867919922,132,chair,,,,,"[[1502, 481, 1847, 902]]",1
313.png,0.0076138973236083984,131,chair,,,,,"[[1503, 482, 1849, 900]]",1
314.png,0.00750422477722168,133,chair,,,,,"[[1502, 481, 1848, 902]]",1
315.png,0.007919788360595703,126,chair,,,,,"[[1502, 481, 1848, 901]]",1
316.png,0.007606029510498047,131,chair,,,,,"[[1502, 482, 1848, 900]]",1
317.png,0.007603883743286133,131,chair,,,,,"[[1501, 481, 1848, 902]]",1
318.png,0.007582664489746094,131,chair,,,,,"[[1501, 481, 1848, 902]]",1
319.png,0.00782918930053711,127,chair,,,,,"[[1502, 480, 1847, 903]]",1
320.png,0.007559061050415039,132,chair,,,,,"[[1501, 480, 1846, 904]]",1
321.png,0.007726907730102539,129,chair,,,,,"[[1502, 479, 1846, 905]]",1
322.png,0.007762908935546875,128,chair,,,,,"[[1505, 478, 1843, 905]]",1
323.png,0.007494211196899414,133,chair,,,,,"[[1503, 482, 1850, 903]]",1
324.png,0.007653951644897461,130,chair,tvmonitor,,,,"[[1471, 498, 1854, 888], [1475, 20, 1858, 264]]",2
