,cost time,FPS,1,2,3,4,5,6,7,8,coordinate,len
2137.png,0.008111953735351562,123,person,person,person,,,,,,"[[1157, 226, 1555, 1028], [741, 122, 1098, 1063], [339, 141, 625, 1069]]",3
2138.png,0.008279800415039062,120,person,person,person,,,,,,"[[1157, 226, 1555, 1028], [741, 122, 1098, 1063], [339, 141, 625, 1069]]",3
2139.png,0.00809931755065918,123,person,person,person,,,,,,"[[1154, 219, 1556, 1028], [743, 119, 1098, 1065], [335, 138, 625, 1068]]",3
2140.png,0.008198738098144531,121,person,person,person,,,,,,"[[1155, 222, 1555, 1028], [741, 119, 1101, 1066], [332, 136, 629, 1070]]",3
2141.png,0.008152246475219727,122,person,person,person,,,,,,"[[1156, 224, 1554, 1027], [741, 118, 1104, 1067], [332, 137, 631, 1072]]",3
2142.png,0.008096933364868164,123,person,person,person,,,,,,"[[1152, 228, 1556, 1026], [740, 121, 1102, 1064], [334, 139, 631, 1071]]",3
2143.png,0.008196830749511719,121,person,person,person,,,,,,"[[1157, 225, 1556, 1023], [735, 124, 1109, 1058], [337, 139, 629, 1073]]",3
2144.png,0.008321285247802734,120,person,person,person,,,,,,"[[1156, 221, 1555, 1029], [743, 119, 1101, 1066], [336, 137, 628, 1074]]",3
2145.png,0.008144855499267578,122,person,person,person,,,,,,"[[1158, 220, 1551, 1029], [742, 123, 1100, 1063], [333, 137, 633, 1078]]",3
2146.png,0.008121252059936523,123,person,person,person,,,,,,"[[1157, 222, 1551, 1029], [743, 127, 1099, 1060], [333, 139, 634, 1079]]",3
2147.png,0.008023977279663086,124,person,person,person,,,,,,"[[1161, 222, 1550, 1032], [742, 125, 1101, 1061], [334, 142, 630, 1077]]",3
2148.png,0.00810384750366211,123,person,person,person,,,,,,"[[1161, 223, 1549, 1028], [743, 125, 1102, 1060], [334, 145, 626, 1073]]",3
2149.png,0.008124589920043945,123,person,person,person,,,,,,"[[1163, 226, 1546, 1028], [745, 126, 1101, 1058], [335, 140, 627, 1073]]",3
2150.png,0.007142782211303711,140,person,person,person,,,,,,"[[1162, 228, 1547, 1028], [745, 125, 1099, 1060], [332, 137, 630, 1079]]",3
2151.png,0.00838613510131836,119,person,person,person,,,,,,"[[1162, 226, 1550, 1029], [747, 126, 1100, 1059], [332, 138, 630, 1079]]",3
2152.png,0.007057666778564453,141,person,person,person,,,,,,"[[1146, 215, 1491, 1031], [749, 124, 1096, 1061], [338, 133, 623, 1079]]",3
2153.png,0.008304357528686523,120,person,person,person,,,,,,"[[1145, 215, 1492, 1030], [748, 125, 1098, 1059], [331, 140, 626, 1074]]",3
2154.png,0.008052349090576172,124,person,person,person,,,,,,"[[1145, 210, 1492, 1033], [749, 125, 1096, 1060], [331, 141, 626, 1072]]",3
2155.png,0.008279561996459961,120,person,person,person,,,,,,"[[1160, 220, 1559, 1026], [753, 123, 1093, 1060], [330, 136, 629, 1077]]",3
2156.png,0.00814676284790039,122,person,person,person,,,,,,"[[1159, 217, 1562, 1025], [754, 122, 1091, 1060], [327, 134, 628, 1079]]",3
2157.png,0.00807499885559082,123,person,person,person,,,,,,"[[1161, 220, 1559, 1026], [752, 117, 1093, 1066], [322, 134, 629, 1079]]",3
2158.png,0.00811457633972168,123,person,person,person,,,,,,"[[1158, 219, 1564, 1022], [755, 116, 1095, 1066], [326, 132, 624, 1079]]",3
2159.png,0.008102655410766602,123,person,person,person,,,,,,"[[1159, 220, 1564, 1026], [757, 115, 1095, 1068], [326, 130, 623, 1079]]",3
2160.png,0.008080005645751953,123,person,person,person,,,,,,"[[1162, 222, 1558, 1030], [756, 117, 1093, 1067], [325, 131, 629, 1079]]",3
2161.png,0.008163928985595703,122,person,person,person,,,,,,"[[1165, 221, 1555, 1032], [758, 120, 1092, 1064], [324, 130, 630, 1079]]",3
2162.png,0.008329391479492188,120,person,person,person,,,,,,"[[1165, 221, 1555, 1032], [758, 120, 1092, 1064], [324, 130, 630, 1079]]",3
2163.png,0.008126020431518555,123,person,person,person,,,,,,"[[1169, 223, 1549, 1033], [758, 118, 1095, 1066], [327, 129, 628, 1079]]",3
2164.png,0.008074760437011719,123,person,person,person,,,,,,"[[757, 117, 1093, 1068], [1169, 224, 1547, 1032], [327, 128, 630, 1079]]",3
2165.png,0.00807952880859375,123,person,person,person,,,,,,"[[1166, 221, 1548, 1032], [752, 114, 1095, 1069], [325, 128, 628, 1079]]",3
2166.png,0.008115768432617188,123,person,person,person,,,,,,"[[1165, 220, 1559, 1034], [751, 103, 1098, 1077], [336, 125, 623, 1076]]",3
2167.png,0.008166790008544922,122,person,person,person,,,,,,"[[1163, 219, 1561, 1034], [750, 104, 1097, 1077], [334, 134, 625, 1072]]",3
2168.png,0.008100032806396484,123,person,person,person,,,,,,"[[1165, 219, 1561, 1032], [747, 99, 1103, 1079], [333, 134, 623, 1068]]",3
2169.png,0.008251428604125977,121,person,person,person,,,,,,"[[1164, 216, 1562, 1033], [746, 98, 1105, 1079], [331, 131, 626, 1070]]",3
2170.png,0.008096694946289062,123,person,person,person,,,,,,"[[1163, 215, 1564, 1029], [745, 98, 1109, 1079], [330, 138, 630, 1067]]",3
2171.png,0.008132457733154297,122,person,person,person,,,,,,"[[1164, 212, 1562, 1033], [719, 69, 1106, 1050], [332, 138, 628, 1066]]",3
2172.png,0.00815582275390625,122,person,person,person,,,,,,"[[1164, 212, 1564, 1033], [719, 73, 1104, 1044], [332, 138, 629, 1064]]",3
2173.png,0.008222579956054688,121,person,person,person,,,,,,"[[1166, 210, 1562, 1034], [724, 76, 1105, 1044], [334, 143, 629, 1059]]",3
2174.png,0.007395267486572266,135,person,person,person,,,,,,"[[1163, 208, 1565, 1036], [727, 73, 1100, 1046], [337, 139, 627, 1063]]",3
2175.png,0.008194446563720703,122,person,person,person,,,,,,"[[1165, 207, 1566, 1035], [724, 73, 1101, 1048], [337, 133, 631, 1067]]",3
2176.png,0.008123397827148438,123,person,person,person,,,,,,"[[1166, 206, 1556, 1033], [742, 110, 1096, 1070], [340, 128, 626, 1071]]",3
2177.png,0.008150577545166016,122,person,person,person,,,,,,"[[1162, 208, 1561, 1031], [738, 117, 1097, 1065], [336, 127, 628, 1073]]",3
2178.png,0.008095502853393555,123,person,person,person,,,,,,"[[1161, 204, 1564, 1036], [739, 116, 1096, 1066], [333, 128, 631, 1072]]",3
2179.png,0.007897615432739258,126,person,person,,,,,,,"[[815, 41, 1386, 737], [1543, 73, 1844, 684]]",2
2180.png,0.008317232131958008,120,person,person,person,,,,,,"[[837, 26, 1424, 732], [1566, 49, 1830, 701], [474, 31, 898, 711]]",3
2181.png,0.008121967315673828,123,person,person,person,,,,,,"[[796, 0, 1451, 727], [1563, 66, 1842, 677], [473, 23, 912, 708]]",3
2182.png,0.007895231246948242,126,person,person,person,,,,,,"[[800, 15, 1489, 727], [1566, 49, 1838, 682], [461, 37, 928, 699]]",3
2183.png,0.008173465728759766,122,person,person,person,,,,,,"[[789, 22, 1526, 732], [1559, 45, 1839, 682], [471, 36, 920, 701]]",3
2184.png,0.007611513137817383,131,person,person,person,,,,,,"[[768, 28, 1560, 712], [464, 38, 928, 702], [1560, 59, 1843, 672]]",3
2185.png,0.008113384246826172,123,person,person,person,,,,,,"[[793, 23, 1547, 712], [483, 37, 926, 708], [1548, 58, 1845, 670]]",3
2186.png,0.008088350296020508,123,person,person,person,,,,,,"[[825, 36, 1514, 715], [475, 43, 925, 708], [1544, 34, 1834, 690]]",3
2187.png,0.008028268814086914,124,person,person,person,,,,,,"[[825, 36, 1514, 715], [475, 43, 925, 708], [1544, 34, 1834, 690]]",3
2188.png,0.008111000061035156,123,person,person,person,,,,,,"[[806, 13, 1506, 738], [482, 42, 912, 709], [1537, 40, 1836, 683]]",3
