,cost time,FPS,1,2,3,4,5,coordinate,len
155.png,0.00791788101196289,126,car,car,person,,,"[[488, 448, 851, 573], [76, 444, 426, 574], [660, 549, 882, 992]]",3
156.png,0.007139682769775391,140,car,car,person,,,"[[480, 449, 866, 571], [62, 444, 426, 574], [653, 554, 896, 993]]",3
157.png,0.007916450500488281,126,car,car,person,,,"[[463, 453, 851, 566], [51, 447, 421, 576], [674, 547, 896, 998]]",3
158.png,0.008063793182373047,124,car,car,person,,,"[[455, 450, 863, 572], [49, 443, 424, 580], [679, 536, 886, 1002]]",3
159.png,0.007930278778076172,126,car,car,person,,,"[[457, 451, 862, 574], [44, 443, 405, 582], [675, 532, 892, 997]]",3
160.png,0.007968664169311523,125,car,car,person,,,"[[457, 451, 862, 574], [44, 443, 405, 582], [675, 532, 892, 997]]",3
161.png,0.008089542388916016,123,car,car,person,,,"[[462, 449, 854, 575], [46, 441, 402, 585], [663, 526, 894, 951]]",3
162.png,0.00814366340637207,122,car,car,person,tvmonitor,,"[[464, 450, 857, 580], [38, 442, 406, 585], [685, 552, 892, 989], [1473, 162, 1896, 923]]",4
163.png,0.007897138595581055,126,car,car,person,,,"[[464, 449, 847, 582], [36, 441, 381, 586], [685, 542, 887, 980]]",3
164.png,0.007906913757324219,126,car,car,person,,,"[[458, 451, 862, 577], [32, 442, 379, 585], [683, 540, 892, 980]]",3
165.png,0.008042335510253906,124,car,car,person,,,"[[446, 455, 868, 575], [21, 445, 381, 585], [658, 533, 895, 945]]",3
166.png,0.007996320724487305,125,car,car,person,,,"[[456, 453, 849, 577], [12, 444, 386, 590], [678, 561, 889, 976]]",3
167.png,0.007961750030517578,125,car,car,person,,,"[[446, 452, 858, 584], [31, 447, 379, 593], [674, 585, 887, 947]]",3
168.png,0.007941722869873047,125,car,car,person,,,"[[444, 452, 857, 585], [26, 448, 375, 595], [670, 557, 883, 984]]",3
169.png,0.008146047592163086,122,car,car,person,,,"[[440, 452, 863, 586], [30, 451, 380, 597], [673, 553, 878, 986]]",3
170.png,0.008071660995483398,123,car,car,person,,,"[[433, 449, 850, 591], [32, 454, 369, 602], [682, 552, 887, 972]]",3
171.png,0.008484363555908203,117,car,car,person,,,"[[434, 452, 844, 591], [29, 457, 356, 600], [680, 550, 877, 979]]",3
172.png,0.008170127868652344,122,car,car,person,,,"[[435, 452, 839, 592], [23, 457, 358, 600], [681, 551, 867, 986]]",3
173.png,0.008191347122192383,122,car,car,person,,,"[[418, 455, 857, 591], [17, 463, 363, 600], [685, 555, 871, 982]]",3
174.png,0.007928848266601562,126,car,car,person,,,"[[391, 456, 885, 588], [0, 460, 271, 595], [684, 565, 881, 982]]",3
175.png,0.008089065551757812,123,car,car,person,,,"[[385, 457, 886, 590], [0, 460, 269, 598], [688, 563, 879, 983]]",3
176.png,0.008190393447875977,122,car,car,person,,,"[[429, 455, 876, 593], [0, 457, 261, 600], [701, 567, 885, 975]]",3
177.png,0.00861978530883789,116,car,car,person,,,"[[438, 452, 863, 594], [0, 457, 267, 596], [705, 557, 882, 980]]",3
178.png,0.008236885070800781,121,car,car,person,,,"[[439, 453, 867, 597], [0, 459, 270, 596], [699, 546, 879, 991]]",3
179.png,0.008388757705688477,119,car,car,person,,,"[[430, 452, 890, 592], [0, 462, 278, 595], [685, 558, 891, 979]]",3
180.png,0.008115291595458984,123,car,car,person,,,"[[405, 456, 921, 588], [0, 462, 290, 593], [666, 571, 887, 979]]",3
181.png,0.007907867431640625,126,car,car,person,,,"[[400, 433, 926, 601], [0, 455, 275, 593], [687, 554, 869, 1001]]",3
182.png,0.007759809494018555,128,person,person,,,,"[[64, 288, 451, 991], [1042, 282, 1532, 982]]",2
183.png,0.008065223693847656,123,person,person,person,,,"[[1208, 113, 1654, 1004], [315, 365, 639, 1017], [56, 287, 468, 1001]]",3
184.png,0.008044958114624023,124,person,person,,,,"[[113, 261, 584, 1020], [1346, 120, 1797, 998]]",2
185.png,0.007399320602416992,135,person,person,,,,"[[113, 261, 584, 1020], [1346, 120, 1797, 998]]",2
186.png,0.007823944091796875,127,person,person,,,,"[[1250, 158, 1909, 1017], [98, 279, 524, 988]]",2
187.png,0.007844686508178711,127,person,person,,,,"[[1437, 80, 1883, 1010], [98, 286, 560, 993]]",2
188.png,0.007811307907104492,128,person,person,person,,,"[[1692, 56, 1918, 1030], [56, 282, 570, 972], [985, 616, 1274, 1006]]",3
189.png,0.006969928741455078,143,person,person,person,,,"[[87, 288, 563, 960], [1758, 124, 1919, 954], [991, 612, 1275, 1004]]",3
190.png,0.00779271125793457,128,person,person,,,,"[[101, 295, 545, 955], [991, 607, 1267, 1014]]",2
191.png,0.007464408874511719,133,person,person,,,,"[[78, 262, 463, 985], [991, 606, 1268, 1014]]",2
192.png,0.006958484649658203,143,person,person,,,,"[[87, 288, 550, 962], [991, 608, 1275, 1011]]",2
193.png,0.007676124572753906,130,person,person,,,,"[[79, 266, 469, 978], [992, 593, 1268, 1018]]",2
194.png,0.007534027099609375,132,person,person,,,,"[[80, 266, 469, 978], [996, 589, 1262, 1017]]",2
195.png,0.0075626373291015625,132,person,person,,,,"[[79, 274, 551, 988], [986, 577, 1230, 1009]]",2
196.png,0.007471323013305664,133,person,person,,,,"[[82, 276, 548, 989], [994, 570, 1214, 1002]]",2
197.png,0.007503509521484375,133,person,person,,,,"[[79, 284, 552, 977], [982, 570, 1202, 993]]",2
198.png,0.007443904876708984,134,person,,,,,"[[86, 289, 546, 977]]",1
199.png,0.007766008377075195,128,person,person,,,,"[[85, 295, 552, 973], [961, 607, 1184, 981]]",2
200.png,0.007754802703857422,128,person,person,,,,"[[86, 297, 555, 974], [941, 607, 1199, 971]]",2
201.png,0.007785320281982422,128,person,person,person,,,"[[87, 286, 560, 982], [931, 598, 1209, 980], [979, 607, 1173, 805]]",3
202.png,0.007851123809814453,127,person,person,,,,"[[87, 288, 561, 985], [935, 604, 1201, 983]]",2
203.png,0.00813913345336914,122,person,person,,,,"[[85, 292, 561, 977], [946, 591, 1169, 995]]",2
204.png,0.007930755615234375,126,person,person,,,,"[[88, 292, 565, 974], [948, 581, 1166, 999]]",2
205.png,0.007938385009765625,125,person,person,,,,"[[950, 578, 1166, 1006], [49, 275, 457, 971]]",2
206.png,0.007743120193481445,129,person,person,,,,"[[45, 268, 476, 997], [945, 581, 1166, 994]]",2
207.png,0.007961511611938477,125,person,person,sofa,,,"[[23, 250, 485, 1019], [935, 578, 1162, 1000], [0, 688, 440, 1017]]",3
208.png,0.00801706314086914,124,chair,person,person,,,"[[0, 577, 422, 996], [34, 272, 490, 1001], [928, 576, 1169, 1007]]",3
209.png,0.007984399795532227,125,chair,person,person,,,"[[0, 577, 422, 996], [34, 272, 490, 1001], [928, 576, 1169, 1007]]",3
210.png,0.007809638977050781,128,person,person,,,,"[[47, 273, 470, 996], [932, 572, 1162, 1006]]",2
211.png,0.00776362419128418,128,person,person,,,,"[[70, 267, 452, 997], [890, 576, 1131, 1005]]",2
212.png,0.007835626602172852,127,person,person,,,,"[[103, 296, 519, 979], [885, 579, 1136, 1000]]",2
213.png,0.007815361022949219,127,person,person,,,,"[[110, 281, 520, 985], [890, 582, 1136, 1006]]",2
214.png,0.007810354232788086,128,person,person,,,,"[[135, 266, 502, 983], [886, 581, 1139, 1008]]",2
215.png,0.00895547866821289,111,person,person,,,,"[[65, 250, 497, 1014], [941, 580, 1164, 1003]]",2
216.png,0.007592439651489258,131,person,person,,,,"[[22, 130, 436, 1010], [956, 581, 1166, 990]]",2
